"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
0.40894,0.82602,0.11785,0.40613,0.15527,0.033088,0.98657,0.95076,0.56331,0.74666,0.068459,0.48318,0.60059,0.73274,0.49987,0.62308,0.20646,0.49272,0.14039,0.17521,20.7
0.16245,0.94165,0.20023,0.11756,0.2261,0.61838,0.73687,0.58167,0.45242,0.45099,0.6382,0.5013,0.54704,0.49328,0.50941,0.48379,0.63951,0.53308,0.65305,0.50549,20.2
0.40191,0.99663,0.1336,0.26521,0.11078,0.17563,0.065496,0.52165,0.50104,0.51535,0.53537,0.48939,0.55404,0.4827,0.52257,0.35305,0.51701,0.51351,0.50355,0.26487,19.2
0.37548,0.87778,0.14,0.18493,0.22649,0.35531,0.78816,0.79081,0.52809,0.58038,0.4249,0.48625,0.57514,0.61269,0.51119,0.64366,0.37699,0.57167,0.28567,0.36492,20.2
0.41994,0.78793,0.30928,0.79399,0.099947,0.17214,0.91613,0.16674,0.23258,0.26536,0.79044,0.50522,0.50837,0.451,0.46743,0.24032,0.64563,0.28342,0.8892,0.59604,19.7
0.17639,0.057039,0.32653,0.66456,0.1951,0.018721,0.57036,0.1773,0.13639,0.20001,0.83365,0.47691,0.59427,0.46492,0.48214,0.6003,0.19996,0.41485,0.3446,0.17675,16.7
0.41948,0.10956,0.47153,0.28858,0.17251,0.27599,0.52589,0.96127,0.67449,0.78309,0.033399,0.49211,0.7073,0.65631,0.52712,0.24223,0.32241,0.1607,0.65126,0.0018905,13.2
0.94947,0.53573,0.87276,0.89139,0.094677,0.36398,0.62357,0.32352,0.3979,0.29121,0.91312,0.51921,0.48367,0.30759,0.52902,0.40888,0.89958,0.69047,0.86429,0.88028,15.2
0.58607,0.76711,0.86515,0.16346,0.073048,0.094597,0.22768,0.49388,0.52047,0.54866,0.41559,0.49204,0.49228,0.53903,0.48542,0.70829,0.36042,0.51245,0.34543,0.46994,13.3
0.99976,0.50289,0.83694,0.24139,0.11609,0.39314,0.21221,0.086484,0.28961,0.36106,0.65842,0.45627,0.47755,0.50856,0.46413,0.86423,0.066791,0.5084,0.097167,0.66675,12
0.57448,0.51942,0.96551,0.04485,0.086335,0.10513,0.71949,0.64817,0.4286,0.54638,0.31261,0.46914,0.48085,0.4298,0.49863,0.20341,0.10344,0.386,0.19883,0.073117,13.1
0.065919,0.1401,0.4259,0.69556,0.20315,0.77178,0.509,0.26419,0.49241,0.41957,0.77209,0.5042,0.41078,0.45718,0.48762,0.73762,0.45669,0.65997,0.36228,0.87214,21.2
0.77334,0.46146,0.6251,0.97491,0.11609,0.92504,0.72037,0.78641,0.58305,0.60412,0.33355,0.49167,0.6237,0.5263,0.52178,0.28301,0.48881,0.36111,0.65061,0.064773,21.3
0.18153,0.50292,0.27981,0.6399,0.13222,0.3666,0.2638,0.3787,0.49799,0.49822,0.58017,0.49191,0.47027,0.50283,0.49794,0.51138,0.48368,0.55397,0.42123,0.64628,19.6
