"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
0.32395,0.27718,0.50964,0.54198,0.14977,0.070917,0.92953,0.21934,0.19767,0.25794,0.72962,0.50221,0.50058,0.4924,0.47906,0.42998,0.52889,0.44404,0.63503,0.66804,16.7
0.52687,0.66161,0.94784,0.53501,0.077705,0.36212,0.49198,0.44545,0.50783,0.42153,0.7671,0.51129,0.50177,0.41376,0.5077,0.51864,0.8393,0.58471,0.84196,0.81445,13.5
0.22277,0.90537,0.29274,0.21945,0.16623,0.86307,0.18448,0.57043,0.65977,0.59634,0.5339,0.49442,0.4897,0.48076,0.51536,0.50188,0.552,0.56577,0.4934,0.54145,20.5
0.53296,0.076105,0.46423,0.45827,0.18955,0.088201,0.92602,0.99748,0.93917,0.90132,0.17959,0.48683,0.39203,0.4322,0.53113,0.62308,0.52103,0.76823,0.17386,0.7067,15.5
0.70082,0.5471,0.9534,0.61178,0.11438,0.27717,0.26898,0.99109,0.99023,0.83464,0.93673,0.53314,0.24152,0.14633,0.5537,0.57598,0.99353,0.93464,0.90053,0.99966,13.7
0.67822,0.70017,0.93577,0.3895,0.08074,0.97149,0.076391,0.0087928,0.052432,0.20195,0.23888,0.49475,0.71562,0.82934,0.47374,0.73656,0.046559,0.25163,0.08248,0.018422,13.7
0.25609,0.19956,0.33221,0.58402,0.17614,0.345,0.89867,0.81766,0.63217,0.70198,0.25091,0.48708,0.4568,0.62843,0.4993,0.6915,0.26865,0.62471,0.12831,0.61644,19.3
0.87071,0.24792,0.27119,0.7071,0.17491,0.2843,0.98931,0.85589,0.61867,0.69141,0.23595,0.49383,0.43339,0.62736,0.49865,0.51553,0.42035,0.48271,0.40816,0.66874,17.7
0.92418,0.27256,0.14186,0.47227,0.28034,0.90523,0.6703,0.032182,0.13555,0.1774,0.77022,0.49081,0.55086,0.47962,0.45785,0.4928,0.36653,0.28711,0.63014,0.32615,17.7
0.6993,0.68668,0.95115,0.32151,0.078011,0.90898,0.075703,0.040523,0.19446,0.33164,0.43207,0.47773,0.66767,0.6181,0.4714,0.77372,0.21575,0.45669,0.18105,0.18893,12.5
